PN,PNnoun,CorpName
233N6203-172,"PANEL, APU/CARGO FIRE CONTROL",BAE SYSTEMS
233N6252-11,"PANEL, ELECTRICAL SYSTEM ASSY",BAE SYSTEMS
233T3100-130,"PANEL, INSTRUMENT MODULE",BAE SYSTEMS
233T3100-130,"PANEL, INSTRUMENT MODULE",BAE SYSTEMS
233T3100-150,"PANEL, INSTRUMENT MODULE",BAE SYSTEMS
69-37335-2098,"MODULE, FUEL SYSTEM",BAE SYSTEMS
69-37335-2129,"MODULE, FUEL SYSTEM",BAE SYSTEMS
69-37335-2135,"MODULE, FUEL SYSTEM",BAE SYSTEMS
69-37335-301,"MODULE, FUEL SYSTEM",BAE SYSTEMS
69-37335-32,"MODULE, FUEL SYSTEM",BAE SYSTEMS
69-37335-321,"MODULE, FUEL SYSTEM",BAE SYSTEMS
69-37335-358,"MODULE, FUEL SYSTEM",BAE SYSTEMS
69-37335-363,"MODULE, FUEL SYSTEM",BAE SYSTEMS
69-37338-37,"MODULE, AUXILIARY VERTICAL",BAE SYSTEMS
69-37339-8,"MODULE, STALL WARNING",BAE SYSTEMS
69-37344-13,"MODUEL, VHF/COMPASS INST. SWITCHING",BAE SYSTEMS
69-37346-138,"MODULE, WINDOW P/S HEAT",BAE SYSTEMS
69-37346-150,"MODULE, WINDOW P/S HEAT",BAE SYSTEMS
69-37346-155,"MODULE, WINDOW P/S HEAT",BAE SYSTEMS
69-37346-188,"MODULE, WINDOW/COMBINED HEAT PITOT-STATIC",BAE SYSTEMS
69-37346-191,"MODULE, WINDOW/COMBINED HEAT PITOT-STATIC",BAE SYSTEMS
69-37346-20,"MODULE, WINDW/COMB. PITOT STATIC HEAT",BAE SYSTEMS
69-37346-2142,"MODULE, WINDOW AND COMBINED P/S HEAT",BAE SYSTEMS
251U1013-2,"TRANSMITTER, POSITION ASSY",BAE SYSTEMS
253T7122-3,"RESOLVER, ASSY",BAE SYSTEMS
253U5900-14,"MODULE, CONT/STAND ENG. START",BAE SYSTEMS
257T1103-20,"MOODULE, L/G CONTROL LEVER",BAE SYSTEMS
65-52804-85,"UNIT, AUDIO ACCESSORY ",BAE SYSTEMS
65-52805-363,"UNIT, FLIGHT INSTR ACCY",BAE SYSTEMS
65-52805-49,"UNIT, FLIGHT INSTR ACCY",BAE SYSTEMS
65-52805-92,"UNIT, FLIGHT INSTR ACCY",BAE SYSTEMS
65-52806-310,"UNIT, SOLID STATE SWITCHING",BAE SYSTEMS
65-52806-352,"UNIT, SOLID STATE SWITCHING",BAE SYSTEMS
65-52806-363,"UNIT, SOLID-STATE SWITCHING",BAE SYSTEMS
65-52806-373,"UNIT, SOLID-STATE SWITCHING",BAE SYSTEMS
65-52806-386,"UNIT, SOLID-STATE SWITCHING",BAE SYSTEMS
65-52806-446,"UNIT, SOLID STATE SWITCHING",BAE SYSTEMS
65-52808-6 MOD D,"UNIT, COMPARTMENT OVERHEAT",BAE SYSTEMS
65-52808-7,"UNIT, OVERHEAT ACC",BAE SYSTEMS
65-52808-7 MOD CD,"UNIT, COMPARTMENT OVERHEAT",BAE SYSTEMS
233T3236-425,"PANEL, TEMPERATURE CONTROL",BAE SYSTEMS
233T3236-53,"PANEL, TEMPERATURE CONTROL",BAE SYSTEMS
233T3236-66,"PANEL, TEMPERATURE CONTROL",BAE SYSTEMS
233T3236-91,"PANEL, TEMPERATURE CONTROL",BAE SYSTEMS
233T3236-96,"PANEL, TEMPERATURE CONTROL",BAE SYSTEMS
233T3237-1021,"PANEL, BLEED AIR CONTROL",BAE SYSTEMS
233T3237-1032,"PANEL, BLEED AIR CONTROL",BAE SYSTEMS
233T3237-1310,"PANEL, BLEED AIR CONTROL",BAE SYSTEMS
233T3237-302,"PANEL, BLEED AIR CONTROL",BAE SYSTEMS
233T3237-309,"PANEL, BLEED AIR CONTROL",BAE SYSTEMS
233T3237-310,"PANEL, BLEED AIR CONTROL",BAE SYSTEMS
233T3241-1008,"PANEL, WING/ENG. ANTI-ICE CONTROL",BAE SYSTEMS
233T3241-1043,"PANEL, WING/ENG. ANTI-ICE CONTROL",BAE SYSTEMS
